platform1,user_id1,platform2,user_id2
platform_1,platform_1_user_0,platform_2,platform_2_user_0
platform_1,platform_1_user_1,platform_2,platform_2_user_1
platform_1,platform_1_user_2,platform_2,platform_2_user_2
platform_1,platform_1_user_3,platform_2,platform_2_user_3
platform_1,platform_1_user_4,platform_2,platform_2_user_4
platform_1,platform_1_user_5,platform_2,platform_2_user_5
platform_1,platform_1_user_6,platform_2,platform_2_user_6
platform_1,platform_1_user_7,platform_2,platform_2_user_7
platform_1,platform_1_user_8,platform_2,platform_2_user_8
platform_1,platform_1_user_9,platform_2,platform_2_user_9
platform_1,platform_1_user_10,platform_2,platform_2_user_10
platform_1,platform_1_user_11,platform_2,platform_2_user_11
platform_1,platform_1_user_12,platform_2,platform_2_user_12
platform_1,platform_1_user_13,platform_2,platform_2_user_13
platform_1,platform_1_user_14,platform_2,platform_2_user_14
platform_1,platform_1_user_15,platform_2,platform_2_user_15
platform_1,platform_1_user_16,platform_2,platform_2_user_16
platform_1,platform_1_user_17,platform_2,platform_2_user_17
platform_1,platform_1_user_18,platform_2,platform_2_user_18
platform_1,platform_1_user_19,platform_2,platform_2_user_19
platform_1,platform_1_user_20,platform_2,platform_2_user_20
platform_1,platform_1_user_21,platform_2,platform_2_user_21
platform_1,platform_1_user_22,platform_2,platform_2_user_22
platform_1,platform_1_user_23,platform_2,platform_2_user_23
platform_1,platform_1_user_24,platform_2,platform_2_user_24
platform_1,platform_1_user_25,platform_2,platform_2_user_25
platform_1,platform_1_user_26,platform_2,platform_2_user_26
platform_1,platform_1_user_27,platform_2,platform_2_user_27
platform_1,platform_1_user_28,platform_2,platform_2_user_28
platform_1,platform_1_user_29,platform_2,platform_2_user_29
platform_1,platform_1_user_30,platform_2,platform_2_user_30
platform_1,platform_1_user_31,platform_2,platform_2_user_31
platform_1,platform_1_user_32,platform_2,platform_2_user_32
platform_1,platform_1_user_33,platform_2,platform_2_user_33
platform_1,platform_1_user_34,platform_2,platform_2_user_34
platform_1,platform_1_user_35,platform_2,platform_2_user_35
platform_1,platform_1_user_36,platform_2,platform_2_user_36
platform_1,platform_1_user_37,platform_2,platform_2_user_37
platform_1,platform_1_user_38,platform_2,platform_2_user_38
platform_1,platform_1_user_39,platform_2,platform_2_user_39
platform_1,platform_1_user_40,platform_2,platform_2_user_40
platform_1,platform_1_user_41,platform_2,platform_2_user_41
platform_1,platform_1_user_42,platform_2,platform_2_user_42
platform_1,platform_1_user_43,platform_2,platform_2_user_43
platform_1,platform_1_user_44,platform_2,platform_2_user_44
platform_1,platform_1_user_45,platform_2,platform_2_user_45
platform_1,platform_1_user_46,platform_2,platform_2_user_46
platform_1,platform_1_user_47,platform_2,platform_2_user_47
platform_1,platform_1_user_48,platform_2,platform_2_user_48
platform_1,platform_1_user_49,platform_2,platform_2_user_49
platform_1,platform_1_user_50,platform_2,platform_2_user_50
platform_1,platform_1_user_51,platform_2,platform_2_user_51
platform_1,platform_1_user_52,platform_2,platform_2_user_52
platform_1,platform_1_user_53,platform_2,platform_2_user_53
platform_1,platform_1_user_54,platform_2,platform_2_user_54
platform_1,platform_1_user_55,platform_2,platform_2_user_55
platform_1,platform_1_user_56,platform_2,platform_2_user_56
platform_1,platform_1_user_57,platform_2,platform_2_user_57
platform_1,platform_1_user_58,platform_2,platform_2_user_58
platform_1,platform_1_user_59,platform_2,platform_2_user_59
platform_1,platform_1_user_60,platform_2,platform_2_user_60
platform_1,platform_1_user_61,platform_2,platform_2_user_61
platform_1,platform_1_user_62,platform_2,platform_2_user_62
platform_1,platform_1_user_63,platform_2,platform_2_user_63
platform_1,platform_1_user_64,platform_2,platform_2_user_64
platform_1,platform_1_user_65,platform_2,platform_2_user_65
platform_1,platform_1_user_66,platform_2,platform_2_user_66
platform_1,platform_1_user_67,platform_2,platform_2_user_67
platform_1,platform_1_user_68,platform_2,platform_2_user_68
platform_1,platform_1_user_69,platform_2,platform_2_user_69
